ANO;MES;NM_MES;PRODUTO;ESTADO - SIGLA;NM_ESTADO;VL_MEDIO_VENDA
2022;1;JANEIRO;GASOLINA ADITIVADA;ES;ESPIRITO SANTO;6.92
2022;1;JANEIRO;GASOLINA ADITIVADA;GO;GOIÁS;7.11
2022;1;JANEIRO;GASOLINA ADITIVADA;MA;MARANHÃO;6.64
2022;1;JANEIRO;GASOLINA ADITIVADA;MG;MINAS GERAIS;7.12
2022;1;JANEIRO;GASOLINA ADITIVADA;MS;MATO GROSSO DO SUL;6.75
2022;1;JANEIRO;GASOLINA ADITIVADA;MT;MATO GROSSO;6.65
2022;1;JANEIRO;GASOLINA ADITIVADA;PA;PARÁ;7.03
2022;1;JANEIRO;GASOLINA ADITIVADA;PB;PARAÍBA;6.65
2022;1;JANEIRO;GASOLINA ADITIVADA;PE;PERNAMBUCO;6.73
2022;1;JANEIRO;GASOLINA ADITIVADA;PI;PIAUÍ;7.12
2022;1;JANEIRO;GASOLINA ADITIVADA;PR;PARANÁ;6.61
2022;1;JANEIRO;GASOLINA ADITIVADA;RJ;RIO DE JANEIRO;7.35
2022;1;JANEIRO;GASOLINA ADITIVADA;RO;RONDÔNIA;6.9
2022;1;JANEIRO;GASOLINA ADITIVADA;RR;RORAIMA;6.57
2022;1;JANEIRO;GASOLINA ADITIVADA;RS;RIO GRANDE DO SUL;6.68
2022;1;JANEIRO;GASOLINA ADITIVADA;SC;SANTA CATARINA;6.62
2022;1;JANEIRO;GASOLINA ADITIVADA;SE;SERGIPE;6.7
2022;1;JANEIRO;GASOLINA ADITIVADA;SP;SÃO PAULO;6.54
2022;1;JANEIRO;GASOLINA ADITIVADA;TO;TOCANTINS;6.99
2022;1;JANEIRO;GNV;AL;ALAGOAS;4.71
2022;1;JANEIRO;GNV;AM;AMAZONAS;4.3
2022;1;JANEIRO;GNV;BA;BAHIA;4.1
2022;1;JANEIRO;GNV;CE;CEARÁ;4.87
2022;1;JANEIRO;GNV;ES;ESPIRITO SANTO;4.53
2022;1;JANEIRO;GNV;MG;MINAS GERAIS;4.43
2022;1;JANEIRO;GNV;MS;MATO GROSSO DO SUL;4.44
