ANO;MES;NM_MES;REGIAO - SIGLA;ESTADO - SIGLA;NM_ESTADO;MUNICIPIO;PRODUTO;VL_MEDIO_VENDA
2022;1;JANEIRO;N;AM;AMAZONAS;TEFE;DIESEL;6.33
2022;1;JANEIRO;N;AM;AMAZONAS;TEFE;DIESEL S10;6.38
2022;1;JANEIRO;N;AM;AMAZONAS;TEFE;GASOLINA;7.33
2022;1;JANEIRO;N;AP;AMAPÁ;MACAPA;DIESEL;5.53
2022;1;JANEIRO;N;AP;AMAPÁ;MACAPA;DIESEL S10;5.7
2022;1;JANEIRO;N;AP;AMAPÁ;MACAPA;ETANOL;5.96
2022;1;JANEIRO;N;AP;AMAPÁ;MACAPA;GASOLINA;5.88
2022;1;JANEIRO;N;AP;AMAPÁ;MACAPA;GASOLINA ADITIVADA;6.25
2022;1;JANEIRO;N;PA;PARÁ;ABAETETUBA;DIESEL;5.67
2022;1;JANEIRO;N;PA;PARÁ;ABAETETUBA;DIESEL S10;5.63
2022;1;JANEIRO;N;PA;PARÁ;ABAETETUBA;ETANOL;5.96
2022;1;JANEIRO;N;PA;PARÁ;ABAETETUBA;GASOLINA;6.64
2022;1;JANEIRO;N;PA;PARÁ;ABAETETUBA;GASOLINA ADITIVADA;6.74
2022;1;JANEIRO;N;PA;PARÁ;ALENQUER;DIESEL;6.22
2022;1;JANEIRO;N;PA;PARÁ;ALENQUER;DIESEL S10;6.25
2022;1;JANEIRO;N;PA;PARÁ;ALENQUER;ETANOL;7.12
2022;1;JANEIRO;N;PA;PARÁ;ALENQUER;GASOLINA;7.23
2022;1;JANEIRO;N;PA;PARÁ;ALENQUER;GASOLINA ADITIVADA;7.28
2022;1;JANEIRO;N;PA;PARÁ;ALTAMIRA;DIESEL;5.76
2022;1;JANEIRO;N;PA;PARÁ;ALTAMIRA;DIESEL S10;5.77
2022;1;JANEIRO;N;PA;PARÁ;ALTAMIRA;ETANOL;5.78
2022;1;JANEIRO;N;PA;PARÁ;ALTAMIRA;GASOLINA;7.17
2022;1;JANEIRO;N;PA;PARÁ;ALTAMIRA;GASOLINA ADITIVADA;7.23
2022;1;JANEIRO;N;PA;PARÁ;ANANINDEUA;DIESEL;5.38
2022;1;JANEIRO;N;PA;PARÁ;ANANINDEUA;DIESEL S10;5.74
2022;1;JANEIRO;N;PA;PARÁ;ANANINDEUA;ETANOL;5.94
2022;1;JANEIRO;N;PA;PARÁ;ANANINDEUA;GASOLINA;6.54
2022;1;JANEIRO;N;PA;PARÁ;ANANINDEUA;GASOLINA ADITIVADA;6.72
2022;1;JANEIRO;N;PA;PARÁ;BELEM;DIESEL S10;5.93
2022;1;JANEIRO;N;PA;PARÁ;BELEM;ETANOL;6.23
2022;1;JANEIRO;N;PA;PARÁ;BELEM;GASOLINA;6.69
2022;1;JANEIRO;N;PA;PARÁ;BELEM;GASOLINA ADITIVADA;6.96
2022;1;JANEIRO;N;PA;PARÁ;BRAGANCA;DIESEL;5.73
2022;1;JANEIRO;N;PA;PARÁ;BRAGANCA;DIESEL S10;5.77
2022;1;JANEIRO;N;PA;PARÁ;BRAGANCA;GASOLINA;6.8
2022;1;JANEIRO;N;PA;PARÁ;BRAGANCA;GASOLINA ADITIVADA;6.84
2022;1;JANEIRO;N;PA;PARÁ;CAMETA;DIESEL;5.77
2022;1;JANEIRO;N;PA;PARÁ;CAMETA;DIESEL S10;5.93
2022;1;JANEIRO;N;PA;PARÁ;CAMETA;GASOLINA;7.0
2022;1;JANEIRO;N;PA;PARÁ;CAMETA;GASOLINA ADITIVADA;7.11
2022;1;JANEIRO;N;PA;PARÁ;CASTANHAL;DIESEL;5.68
2022;1;JANEIRO;N;PA;PARÁ;CASTANHAL;DIESEL S10;5.64
2022;1;JANEIRO;N;PA;PARÁ;CASTANHAL;ETANOL;6.07
2022;1;JANEIRO;N;PA;PARÁ;CASTANHAL;GASOLINA;6.68
2022;1;JANEIRO;N;PA;PARÁ;CASTANHAL;GASOLINA ADITIVADA;6.92
2022;1;JANEIRO;N;PA;PARÁ;CONCEICAO DO ARAGUAIA;DIESEL;5.97
2022;1;JANEIRO;N;PA;PARÁ;CONCEICAO DO ARAGUAIA;DIESEL S10;6.0
2022;1;JANEIRO;N;PA;PARÁ;CONCEICAO DO ARAGUAIA;ETANOL;6.38
2022;1;JANEIRO;N;PA;PARÁ;CONCEICAO DO ARAGUAIA;GASOLINA;7.33
2022;1;JANEIRO;N;PA;PARÁ;CONCEICAO DO ARAGUAIA;GASOLINA ADITIVADA;7.35
2022;1;JANEIRO;N;PA;PARÁ;ITAITUBA;DIESEL;5.65
